roll_number,studentn,gender
20383H,286,F
20029M,112,M
91387Q,157,M
16970A,259,M
60660I,111,M
17820J,192,F
17554O,61,F
70120F,308,M
17266J,28,M
70240P,264,M
15878H,20,M
17463L,14,F
20118L,50,F
17928G,212,M
16727O,,F
17155A,73,F
19930D,124,F
12138V,27,F
81010J,178,F
17847G,11,F
19446V,444,M
17244W,11,F
07857D,118,M
18536R,22,F
17189R,25,F
11361T,146,F
19611K,118,M
20007C,105,M
17686I,170,M
16706G,300,M
15556I,622,F
17837D,20,F
71770D,108,F
14917J,50,M
20259G,129,F
19885B,116,F
18010C,28,F
01197D,,F
20355C,104,M
19714U,128,F
17996A,44,F
13540G,32,F
65010R,209,M
17965M,39,M
17871D,89,M
76078Q,424,F
62000W,122,F
91318U,243,M
18489L,53,F
16349I,91,F
12292I,76,M
07990F,14,F
18106P,174,M
18565B,34,F
16344V,143,M
19595P,109,F
76104O,343,F
16160L,47,F
04442F,9,M
17869Q,48,F
17242S,6,M
91407T,224,M
15008A,33,M
60550B,569,M
91325R,605,M
16938E,93,M
19322D,18,F
12701W,32,F
60741I,623,F
19232C,254,F
06227L,13,F
19920A,,M
16492N,25,F
76454S,48,F
18744B,41,M
19933J,74,F
91427C,359,F
60440R,206,M
19512I,345,M
60843Q,191,F
18336J,73,M
19351K,156,F
17566V,11,M
20122C,118,F
71660T,63,F
20238V,37,M
12633I,4,M
16304J,38,M
64360Q,734,F
60853T,,M
16774A,44,M
18748J,68,F
12755W,104,M
17301I,30,F
03294L,23,M
18876S,8,M
19557H,33,F
18003F,91,M
17997C,37,F
19323F,58,M
19809I,77,M
19554B,61,M
18468D,11,F
02418V,28,F
19974A,102,F
11843O,90,F
20271T,306,F
64130W,254,M
76077O,195,F
16933R,53,M
12413R,21,M
63760E,,M
18350D,38,F
14433K,61,F
64820B,519,F
72320A,66,M
19770H,36,F
62590A,203,F
18737E,94,F
60770P,811,F
16823K,15,M
14290O,34,F
14777T,66,F
76092K,86,M
20037L,66,F
17964K,40,M
17629T,66,F
18405C,67,M
14925I,14,M
20122C,131,M
16271U,195,M
71030J,83,F
13667H,38,M
19707A,207,M
13375R,111,M
18501V,29,M
19713S,206,M
17575W,41,M
18301N,,F
12741L,96,F
09841V,21,F
72140V,26,F
68308L,25,F
14987H,18,M
20131D,254,M
10533R,23,F
17547R,14,M
71630K,212,M
61702D,229,F
19538D,110,M
18756I,10,F
65582Q,434,M
71220O,306,M
61380H,,M
15446B,16,M
71950F,593,F
16611S,10,F
